date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-24,La Liga,19-20,Osasuna,Eibar,0,0,D,6.0,12.0,2.0,0.0,6.0,6.0,15.0,12.0,4.0,4.0,0.0,0.0,2.5,3.2,2.9,La Liga Primera Division\19-20.csv
2019-08-24,La Liga,19-20,Real Madrid,Valladolid,1,1,D,22.0,9.0,4.0,2.0,4.0,3.0,12.0,11.0,2.0,2.0,0.0,0.0,1.2,6.5,13.0,La Liga Primera Division\19-20.csv
2019-08-24,Ligue 1,19-20,Amiens,Nantes,1,2,A,3.0,25.0,1.0,6.0,2.0,5.0,9.0,13.0,1.0,1.0,1.0,0.0,2.6,3.1,2.8,Le Championnat\19-20.csv
2019-08-24,Ligue 1,19-20,Angers,Metz,3,0,H,15.0,4.0,5.0,2.0,2.0,1.0,15.0,8.0,1.0,2.0,0.0,0.0,2.1,3.25,3.75,Le Championnat\19-20.csv
2019-08-24,Ligue 1,19-20,Brest,Reims,1,0,H,8.0,10.0,4.0,2.0,6.0,5.0,18.0,14.0,1.0,1.0,0.0,0.0,2.7,3.0,2.87,Le Championnat\19-20.csv
2019-08-24,Ligue 1,19-20,Dijon,Bordeaux,0,2,A,10.0,10.0,1.0,3.0,3.0,7.0,12.0,18.0,0.0,2.0,0.0,0.0,2.62,3.1,2.8,Le Championnat\19-20.csv
2019-08-24,Premier League,19-20,Brighton,Southampton,0,2,A,12.0,12.0,3.0,4.0,8.0,5.0,9.0,10.0,1.0,3.0,1.0,0.0,2.4,3.3,3.0,Premier League\19-20.csv
2019-08-24,Premier League,19-20,Liverpool,Arsenal,3,1,H,25.0,9.0,5.0,3.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,1.5,4.6,6.0,Premier League\19-20.csv
2019-08-24,Premier League,19-20,Man United,Crystal Palace,1,2,A,22.0,5.0,3.0,3.0,8.0,1.0,8.0,18.0,2.0,4.0,0.0,0.0,1.33,5.25,9.0,Premier League\19-20.csv
2019-08-24,Premier League,19-20,Norwich,Chelsea,2,3,A,6.0,23.0,5.0,8.0,1.0,8.0,9.0,9.0,1.0,1.0,0.0,0.0,4.33,3.75,1.8,Premier League\19-20.csv
2019-08-24,Premier League,19-20,Sheffield United,Leicester,1,2,A,8.0,10.0,3.0,2.0,7.0,4.0,11.0,6.0,1.0,0.0,0.0,0.0,3.3,3.3,2.25,Premier League\19-20.csv
2019-08-24,Premier League,19-20,Watford,West Ham,1,3,A,23.0,16.0,3.0,10.0,8.0,7.0,12.0,11.0,1.0,1.0,0.0,0.0,2.05,3.5,3.5,Premier League\19-20.csv
2019-08-24,Serie A,19-20,Fiorentina,Napoli,3,4,A,10.0,8.0,6.0,6.0,4.0,5.0,21.0,16.0,2.0,4.0,0.0,0.0,4.75,3.75,1.72,Seire\19-20.csv
2019-08-24,Serie A,19-20,Parma,Juventus,0,1,A,5.0,9.0,4.0,4.0,5.0,8.0,12.0,14.0,2.0,3.0,0.0,0.0,9.0,5.25,1.33,Seire\19-20.csv
2019-08-25,Bundesliga,19-20,Hertha,Wolfsburg,0,3,A,8.0,9.0,2.0,4.0,2.0,5.0,15.0,11.0,1.0,0.0,0.0,0.0,2.4,3.4,2.9,Bundesliga\19-20.csv
2019-08-25,Bundesliga,19-20,RB Leipzig,Ein Frankfurt,2,1,H,13.0,11.0,5.0,5.0,4.0,1.0,10.0,13.0,2.0,3.0,0.0,0.0,1.5,4.5,6.0,Bundesliga\19-20.csv
2019-08-25,La Liga,19-20,Alaves,Espanol,0,0,D,10.0,5.0,2.0,1.0,3.0,5.0,13.0,10.0,3.0,1.0,0.0,0.0,2.45,3.2,3.0,La Liga Primera Division\19-20.csv
2019-08-25,La Liga,19-20,Barcelona,Betis,5,2,H,20.0,4.0,7.0,3.0,11.0,0.0,14.0,12.0,1.0,1.0,0.0,0.0,1.25,6.0,10.0,La Liga Primera Division\19-20.csv
2019-08-25,La Liga,19-20,Leganes,Ath Madrid,0,1,A,10.0,6.0,4.0,4.0,9.0,4.0,12.0,13.0,4.0,5.0,0.0,0.0,4.75,3.4,1.8,La Liga Primera Division\19-20.csv
2019-08-25,La Liga,19-20,Mallorca,Sociedad,0,1,A,12.0,12.0,4.0,4.0,5.0,5.0,16.0,12.0,1.0,2.0,0.0,0.0,3.1,3.1,2.4,La Liga Primera Division\19-20.csv
