date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2021-08-29,Premier League,Burnley,Leeds,0.2801970364833524,0.2870102915258227,0.432792671990825,0.2596494530148587,0.2370654001672617,0.5032851468178795,1.2861445724244835,1.5781396228675733,0.2919950504430897,A,A,0.432792671990825,0.5032851468178795,True,False,D,3.1,3.5,2.25
2021-08-29,Ligue 1,Troyes,Monaco,0.1945597815992782,0.2575115596401502,0.5479286587605715,0.2794965900920013,0.2293685798401703,0.4911348300678284,1.0015719552024187,1.7013630537757776,0.6997910985733589,A,A,0.5479286587605715,0.4911348300678284,True,False,A,4.33,3.6,1.83
2021-08-29,Ligue 1,Reims,Paris SG,0.0666760022443239,0.1051199012941533,0.8282040964615226,0.1688378871299558,0.2079728743576378,0.6231892385124063,0.929717743609668,2.8277812414601025,1.8980634978504345,A,A,0.8282040964615226,0.6231892385124063,True,False,A,17.0,8.0,1.14
2021-08-29,Serie A,Genoa,Napoli,0.1370563999391683,0.1943321715743686,0.668611428486463,0.1652442097966958,0.2474565378683556,0.5872992523349484,1.0399319765104418,2.3856001652741194,1.3456681887636777,A,A,0.668611428486463,0.5872992523349484,True,False,A,6.0,4.5,1.5
2021-08-29,Ligue 1,Lens,Lorient,0.55450408766473,0.2644307190889408,0.1810651932463291,0.5749847825014114,0.2596975591919206,0.165317658306668,1.6533464230743895,0.8363635619515756,-0.8169828611228139,H,H,0.55450408766473,0.5749847825014114,True,False,D,1.75,3.6,5.0
2021-08-29,Ligue 1,Clermont,Metz,0.5603752067031996,0.2556359677826992,0.1839888255141012,0.5434675668811548,0.2383730659984173,0.2181593671204278,1.817583633997876,1.1301859938374303,-0.6873976401604456,H,H,0.5603752067031996,0.5434675668811548,True,False,D,1.72,3.75,4.75
2021-08-29,Ligue 1,Angers,Rennes,0.3055330545133195,0.3074204130878489,0.3870465323988316,0.334376654270846,0.2666223878737984,0.3990009578553556,1.1472730541178464,1.322122797711444,0.1748497435935976,A,A,0.3870465323988316,0.3990009578553556,True,False,H,2.9,3.25,2.5
2021-08-29,La Liga,Vallecano,Granada,0.3553331848463902,0.313789802355625,0.3308770127979848,0.4298598646249104,0.2760505250448198,0.2940896103302697,1.2491448350199157,1.207404572590594,-0.0417402624293217,H,H,0.3553331848463902,0.4298598646249104,True,False,H,2.55,3.2,2.87
2021-08-29,La Liga,Cadiz,Osasuna,0.2755745478782787,0.3233204086739047,0.4011050434478165,0.3652335745141376,0.3075019098388966,0.3272645156469658,1.1052563768137924,1.3472307054755344,0.2419743286617419,A,H,0.4011050434478165,0.3652335745141376,False,True,A,3.2,3.0,2.45
2021-08-29,La Liga,Barcelona,Getafe,0.6957460949610943,0.1888798760544168,0.1153740289844887,0.7061840473466473,0.2037881202045904,0.0900278324487623,2.249414199142996,0.8952488253890406,-1.3541653737539554,H,H,0.6957460949610943,0.7061840473466473,True,False,H,1.4,4.75,7.5
2021-08-29,Ligue 1,Lille,Montpellier,0.5870729235441569,0.2407864587120344,0.1721406177438087,0.5461954774225102,0.2458979338555848,0.207906588721905,1.9288035647239312,0.9862687804646348,-0.9425347842592964,H,H,0.5870729235441569,0.5461954774225102,True,False,H,1.66,4.0,5.0
2021-08-29,La Liga,Ath Madrid,Villarreal,0.549593552339147,0.2736405710386574,0.1767658766221955,0.6051356557615769,0.2529914859896523,0.1418728582487707,1.688007329901325,0.9727797098039204,-0.7152276200974046,H,H,0.549593552339147,0.6051356557615769,True,False,D,1.75,3.4,5.25
2021-08-29,Bundesliga,Wolfsburg,RB Leipzig,0.2375688194760767,0.278114159953597,0.4843170205703263,0.3568750903853306,0.2438927006005622,0.3992322090141072,1.1091461000852874,1.7864692699550055,0.6773231698697182,A,A,0.4843170205703263,0.3992322090141072,True,False,H,3.6,3.5,2.05
2021-08-29,Bundesliga,Union Berlin,M'gladbach,0.3689924451631736,0.3085430566115751,0.3224644982252514,0.4774610079299707,0.250811523754506,0.2717274683155233,1.3331744803302688,1.1520416651487049,-0.1811328151815638,H,H,0.3689924451631736,0.4774610079299707,True,False,H,2.45,3.25,2.9
2021-09-10,Ligue 1,Lorient,Lille,0.25349396448339,0.2880445960548848,0.4584614394617251,0.2562200127724814,0.2826672304346012,0.4611127567929173,1.1126395697193976,1.439082617676758,0.3264430479573603,A,A,0.4584614394617251,0.4611127567929173,True,False,H,3.4,3.4,2.15
2021-09-11,Serie A,Napoli,Juventus,0.3801446238863709,0.2886733279859474,0.3311820481276816,0.4659131545341292,0.2507657677942459,0.2833210776716248,1.5185477067146125,1.42954992658177,-0.0889977801328425,H,H,0.3801446238863709,0.4659131545341292,True,False,H,2.4,3.6,2.8
2021-09-11,Serie A,Empoli,Venezia,0.5334727010556372,0.2602860299341204,0.2062412690102425,0.4780268026772711,0.2640887715590054,0.2578844257637234,1.5978658223562137,1.0820592194303125,-0.5158066029259012,H,H,0.5334727010556372,0.4780268026772711,True,False,A,1.8,3.8,4.2
2021-09-11,Serie A,Atalanta,Fiorentina,0.6288264659890525,0.219220028839542,0.1519535051714054,0.6537298871095264,0.241240076549593,0.1050300363408806,1.8319456553971143,0.8750025431404321,-0.9569431122566822,H,H,0.6288264659890525,0.6537298871095264,True,False,A,1.55,4.33,5.5
