date,group,stage,round,match_id,home_team,away_team,home_goals,away_goals,status,aet,penalties_home,penalties_away,winner,source_url,source_event_date,matched_date_source,fetched_at
2026-06-26,H,Group Stage,Group Stage,,Uruguay,Spain,0.0,1.0,completed,False,,,Spain,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-27,source_event_date_plus_1,2026-07-10T12:20:19.181146+00:00
2026-06-26,I,Group Stage,Group Stage,,Norway,France,1.0,4.0,completed,False,,,France,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-26,exact,2026-07-10T12:20:19.181146+00:00
2026-06-26,I,Group Stage,Group Stage,,Senegal,Iraq,5.0,0.0,completed,False,,,Senegal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-26,exact,2026-07-10T12:20:19.181146+00:00
2026-06-27,J,Group Stage,Group Stage,,Algeria,Austria,3.0,3.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-28,source_event_date_plus_1,2026-07-10T12:20:25.108045+00:00
2026-06-27,J,Group Stage,Group Stage,,Jordan,Argentina,1.0,3.0,completed,False,,,Argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-28,source_event_date_plus_1,2026-07-10T12:20:25.108045+00:00
2026-06-27,K,Group Stage,Group Stage,,Colombia,Portugal,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-27,exact,2026-07-10T12:20:25.108045+00:00
2026-06-27,K,Group Stage,Group Stage,,DR Congo,Uzbekistan,3.0,1.0,completed,False,,,Congo DR,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-27,exact,2026-07-10T12:20:25.108045+00:00
2026-06-27,L,Group Stage,Group Stage,,Croatia,Ghana,2.0,1.0,completed,False,,,Croatia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-27,exact,2026-07-10T12:20:25.108045+00:00
2026-06-27,L,Group Stage,Group Stage,,Panama,England,0.0,2.0,completed,False,,,England,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627,2026-06-27,exact,2026-07-10T12:20:25.108045+00:00
2026-06-28,,Round of 32,Round of 32,R32_01,South Africa,Canada,0.0,1.0,completed,False,,,Canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260628,2026-06-28,exact,2026-07-10T12:20:34.698918+00:00
2026-06-29,,Round of 32,Round of 32,R32_02,Brazil,Japan,2.0,1.0,completed,False,,,Brazil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629,2026-06-29,exact,2026-07-10T12:20:43.853884+00:00
2026-06-29,,Round of 32,Round of 32,R32_03,Germany,Paraguay,1.0,1.0,completed,False,3.0,4.0,Paraguay,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260629,2026-06-29,exact,2026-07-10T12:20:43.853884+00:00
2026-06-30,,Round of 32,Round of 32,R32_06,France,Sweden,3.0,0.0,completed,False,,,France,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260630,2026-06-30,exact,2026-07-10T12:20:53.972239+00:00
